time (UTC),latitude (degrees_north),longitude (degrees_east),cruise,haul_no,vessel,station,catch,species_code,common_name,sci_name,species_group,maturity,species_notes,aphiaid,match_type,lsid,station_latitude (degrees_north),station_longitude (degrees_east),ctd_index,station_bottom_depth (meters),area,strata,tdr_depth (meters),depth_strata,bottom_depth (meters),station_active,station_notes
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,503,PLAINFIN MIDSHIPMAN,Porichthys notatus,Fish,U,NULL,275658,exact,urn:lsid:marinespecies.org:taxname:275658,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,507,BLUE SHARK,Prionace glauca,Elasmobranch,U,NULL,105801,exact,urn:lsid:marinespecies.org:taxname:105801,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,512,SAND SOLE,Psettichthys melanostictus,Flatfish,Y,NULL,282396,exact,urn:lsid:marinespecies.org:taxname:282396,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,512,SAND SOLE,Psettichthys melanostictus,Flatfish,A,NULL,282396,exact,urn:lsid:marinespecies.org:taxname:282396,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,521,BIG SKATE,Raja binoculata,Elasmobranch,U,NULL,271572,exact,urn:lsid:marinespecies.org:taxname:271572,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,525,LONGNOSE SKATE,Raja rhina,Elasmobranch,U,NULL,271581,exact,urn:lsid:marinespecies.org:taxname:271581,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,543,GRUNT SCULPIN,Rhamphocottus richardsonii,Cottid,Y,NULL,282578,exact,urn:lsid:marinespecies.org:taxname:282578,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,561,PACIFIC BONITO,Sarda chiliensis,Fish,Y,NULL,293729,exact,urn:lsid:marinespecies.org:taxname:293729,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,562,PACIFIC SARDINE,Sardinops sagax,Clupeoid,A,NULL,217452,exact,urn:lsid:marinespecies.org:taxname:217452,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,26,562,PACIFIC SARDINE,Sardinops sagax,Clupeoid,Y,NULL,217452,exact,urn:lsid:marinespecies.org:taxname:217452,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
2015-06-07T04:41:17Z,32.7097,-117.3522,1505,136,"OS ",484,0,564,PACIFIC MACKEREL,Scomber japonicus,Fish,A,NULL,127022,exact,urn:lsid:marinespecies.org:taxname:127022,32.7083,-117.3333,187,94,San Diego,S,31,2,215,Y,Added in 2004
